"","primary","colname"
"1","PDC016-MTG","PDC016_MTG_P3WH10_001"
"2","PDC016-SSC","PDC016_SSC_P4WA1_001"
"3","PDC026-MTG","PDC026_MTG_P4WA3_001"
"4","PDC026-SSC","PDC026_SSC_P4WA4_001"
"5","A019/12-MTG","A019s12_MTG_P2WD10_001"
"6","A019/12-SSC","A019s12_SSC_P2WE1_001"
"14","A319/11-MTG","A319s11_MTG_P3WE2_001"
"15","A319/11-SSC","A319s11_SSC_P3WE3_001"
"16","DPM13/19-MTG","DPM13s19_MTG_P3WF9_001"
"17","DPM13/19-SSC","DPM13s19_SSC_P3WF10_001"
"19","20130400-MTG","20130400_MTG_P1WH9_001"
"20","20130400-SSC","20130400_SSC_P1WH10_001"
"21","A048/13-MTG","A048s13_MTG_P2WE9_001"
"22","A048/13-SSC","A048s13_SSC_P2WE10_001"
"23","A064/13-MTG","A064s13_MTG_P2WF8_001"
"24","A064/13-SSC","A064s13_SSC_P2WF9_001"
"26","A301/10-MTG","A301s10_MTG_P3WD9_001"
"27","A301/10-SSC","A301s10_SSC_P3WD10_001"
"30","A127/11-MTG","A127s11_MTG_P2WH3_001"
"31","A127/11-SSC","A127s11_SSC_P2WH4_001"
"32","A053/11-MTG","A053s11_MTG_P2WF5_001"
"33","A053/11-SSC","A053s11_SSC_P2WF6_001"
"34","DPM13/42-MTG","DPM13s42_MTG_P3WG2_001"
"35","DPM13/42-SSC","DPM13s42_SSC_P3WG3_001"
"38","20131157-MTG","20131157_MTG_P2WA3_001"
"39","20131157-SSC","20131157_SSC_P2WA4_001"
"40","A051/14-MTG","A051s14_MTG_P2WF2_001"
"41","A051/14-SSC","A051s14_SSC_P2WF3_001"
"42","A096/14-MTG","A096s14_MTG_P2WG7_001"
"43","A096/14-SSC","A096s14_SSC_P2WG8_001"
"45","20141901-MTG","20141901_MTG_P2WA6_001"
"46","20141901-SSC","20141901_SSC_P2WA7_001"
"47","BC454/945-MTG","BC454s945_MTG_P3WF6_001"
"48","BC454/945-SSC","BC454s945_SSC_P3WF7_001"
"50","A282/14-MTG","A282s14_MTG_P3WD4_001"
"51","A282/14-SSC","A282s14_SSC_P3WD5_001"
"52","A402/14-MTG","A402s14_MTG_P3WF1_001"
"53","A402/14-SSC","A402s14_SSC_P3WF2_001"
"54","19920001-MTG","19920001_MTG_P1WA10_001"
"55","19920001-SSC","19920001_SSC_P1WB1_001"
"58","20050033-MTG","20050033_MTG_P1WF1_001"
"59","20050033-SSC","20050033_SSC_P1WF2_001"
"60","A248/10-MTG","A248s10_MTG_P3WC2_001"
"61","A248/10-SSC","A248s10_SSC_P3WC3_001"
"62","A153/12-MTG","A153s12_MTG_P2WH8_001"
"63","A153/12-SSC","A153s12_SSC_P2WH9_001"
"67","20050102-MTG","20050102_MTG_P1WF4_001"
"68","20050102-SSC","20050102_SSC_P1WF5_001"
"69","20030099-MTG","20030099_MTG_P1WE8_001"
"70","20030099-SSC","20030099_SSC_P1WE9_001"
"71","20060093-MTG","20060093_MTG_P1WF7_001"
"72","20060093-SSC","20060093_SSC_P1WF8_001"
"73","20060099-MTG","20060099_MTG_P1WF10_001"
"74","20060099-SSC","20060099_SSC_P1WG1_001"
"77","20110272-MTG","20110272_MTG_P1WG7_001"
"78","20110272-SSC","20110272_SSC_P1WG8_001"
"79","20110476-MTG","20110476_MTG_P1WG10_001"
"80","20110476-SSC","20110476_SSC_P1WH1_001"
"85","A187/96-MTG","A187s96a_MTG_P3WB4_001"
"86","A187/96-SSC","A187s96a_SSC_P3WB5_001"
"89","A013/03-MTG","A013s03_MTG_P2WD7_001"
"90","A013/03-SSC","A013s03_SSC_P2WD8_001"
"91","A029/04-MTG","A029s04_MTG_P2WE6_001"
"92","A029/04-SSC","A029s04_SSC_P2WE7_001"
"93","A166/04-MTG","A166s04_MTG_P3WA7_001"
"94","A166/04-SSC","A166s04_SSC_P3WA8_001"
"95","A074/05-MTG","A074s05a_MTG_P2WG4_001"
"96","A074/05-SSC","A074s05a_SSC_P2WG5_001"
"97","A210/05-MTG","A210s05a_MTG_P3WB7_001"
"98","A210/05-SSC","A210s05a_SSC_P3WB8_001"
"100","A329/10-MTG","A329s10_MTG_P3WE5_001"
"101","A329/10-SSC","A329s10_SSC_P3WE6_001"
"103","A253/12-MTG","A253s12_MTG_P3WC4_001"
"104","A253/12-SSC","A253s12_SSC_P3WC6_001"
"105","A277/12-MTG","A277s12_MTG_P3WD1_001"
"106","A277/12-SSC","A277s12_SSC_P3WD2_001"
"107","A272/15-MTG","A272s15_MTG_P3WC8_001"
"108","A272/15-SSC","A272s15_SSC_P3WC9_001"
"110","A354/16-MTG","A354s16_MTG_P3WE8_001"
"111","A354/16-SSC","A354s16_SSC_P3WE9_001"
"112","A115/17-MTG","A115s17_MTG_P2WG10_001"
"113","A115/17-SSC","A115s17_SSC_P2WH1_001"
"114","A163/17-MTG","A163s17_MTG_P3WA4_001"
"115","A163/17-SSC","A163s17_SSC_P3WA5_001"
"116","19950136-MTG","19950136_MTG_P1WD4_001"
"117","19950136-SSC","19950136_SSC_P1WD5_001"
"118","19960052-MTG","19960052_MTG_P1WD7_001"
"119","19960052-SSC","19960052_SSC_P1WD8_001"
"122","20150975-MTG","20150975_MTG_P2WB2_001"
"123","20150975-SSC","20150975_SSC_P2WB3_001"
"124","20152915-MTG","20152915_MTG_P2WB5_001"
"125","20152915-SSC","20152915_SSC_P2WB6_001"
"126","20174902-MTG","20174902_MTG_P2WB8_001"
"127","20174902-SSC","20174902_SSC_P2WB9_001"
"129","19891053-MTG","19891053_MTG_P1WA2_001"
"130","19891053-SSC","19891053_SSC_P1WA3_001"
"138","19920194-MTG","19920194_MTG_P1WB8_001"
"139","19920194-SSC","19920194_SSC_P1WB9_001"
"140","19920200-MTG","19920200_MTG_P1WC1_001"
"141","19920200-SSC","19920200_SSC_P1WC2_001"
"146","19950030-MTG","19950030_MTG_P1WD1_001"
"147","19950030-SSC","19950030_SSC_P1WD2_001"
"150","19980098-MTG","19980098_MTG_P1WE3_001"
"151","19980098-SSC","19980098_SSC_P1WE4_001"
"155","20185945-MTG","20185945_MTG_P2WC6_001"
"156","20185945-SSC","20185945_SSC_P2WC7_001"
"160","DPM16/44-MTG","DPM16s44_MTG_P3WG5_001"
"161","DPM16/44-SSC","DPM16s44_SSC_P3WG6_001"
"162","20196919-MTG","20196919_MTG_P2WD1_001"
"163","20196919-SSC","20196919_SSC_P2WD2_001"
"164","20196928-MTG","20196928_MTG_P2WD4_001"
"165","20196928-SSC","20196928_SSC_P2WD5_001"
