"","sample_id","sample_name","batch"
"PDC016_MTG_P3WH10_001","PDC016-MTG","PDC016_MTG_P3WH10_001","P3"
"PDC016_SSC_P4WA1_001","PDC016-SSC","PDC016_SSC_P4WA1_001","P4"
"PDC026_MTG_P4WA3_001","PDC026-MTG","PDC026_MTG_P4WA3_001","P4"
"PDC026_SSC_P4WA4_001","PDC026-SSC","PDC026_SSC_P4WA4_001","P4"
"A019s12_MTG_P2WD10_001","A019/12-MTG","A019s12_MTG_P2WD10_001","P2"
"A019s12_SSC_P2WE1_001","A019/12-SSC","A019s12_SSC_P2WE1_001","P2"
"A319s11_MTG_P3WE2_001","A319/11-MTG","A319s11_MTG_P3WE2_001","P3"
"A319s11_SSC_P3WE3_001","A319/11-SSC","A319s11_SSC_P3WE3_001","P3"
"DPM13s19_MTG_P3WF9_001","DPM13/19-MTG","DPM13s19_MTG_P3WF9_001","P3"
"DPM13s19_SSC_P3WF10_001","DPM13/19-SSC","DPM13s19_SSC_P3WF10_001","P3"
"20130400_MTG_P1WH9_001","20130400-MTG","20130400_MTG_P1WH9_001","P1"
"20130400_SSC_P1WH10_001","20130400-SSC","20130400_SSC_P1WH10_001","P1"
"A048s13_MTG_P2WE9_001","A048/13-MTG","A048s13_MTG_P2WE9_001","P2"
"A048s13_SSC_P2WE10_001","A048/13-SSC","A048s13_SSC_P2WE10_001","P2"
"A064s13_MTG_P2WF8_001","A064/13-MTG","A064s13_MTG_P2WF8_001","P2"
"A064s13_SSC_P2WF9_001","A064/13-SSC","A064s13_SSC_P2WF9_001","P2"
"A301s10_MTG_P3WD9_001","A301/10-MTG","A301s10_MTG_P3WD9_001","P3"
"A301s10_SSC_P3WD10_001","A301/10-SSC","A301s10_SSC_P3WD10_001","P3"
"A127s11_MTG_P2WH3_001","A127/11-MTG","A127s11_MTG_P2WH3_001","P2"
"A127s11_SSC_P2WH4_001","A127/11-SSC","A127s11_SSC_P2WH4_001","P2"
"A053s11_MTG_P2WF5_001","A053/11-MTG","A053s11_MTG_P2WF5_001","P2"
"A053s11_SSC_P2WF6_001","A053/11-SSC","A053s11_SSC_P2WF6_001","P2"
"DPM13s42_MTG_P3WG2_001","DPM13/42-MTG","DPM13s42_MTG_P3WG2_001","P3"
"DPM13s42_SSC_P3WG3_001","DPM13/42-SSC","DPM13s42_SSC_P3WG3_001","P3"
"20131157_MTG_P2WA3_001","20131157-MTG","20131157_MTG_P2WA3_001","P2"
"20131157_SSC_P2WA4_001","20131157-SSC","20131157_SSC_P2WA4_001","P2"
"A051s14_MTG_P2WF2_001","A051/14-MTG","A051s14_MTG_P2WF2_001","P2"
"A051s14_SSC_P2WF3_001","A051/14-SSC","A051s14_SSC_P2WF3_001","P2"
"A096s14_MTG_P2WG7_001","A096/14-MTG","A096s14_MTG_P2WG7_001","P2"
"A096s14_SSC_P2WG8_001","A096/14-SSC","A096s14_SSC_P2WG8_001","P2"
"20141901_MTG_P2WA6_001","20141901-MTG","20141901_MTG_P2WA6_001","P2"
"20141901_SSC_P2WA7_001","20141901-SSC","20141901_SSC_P2WA7_001","P2"
"BC454s945_MTG_P3WF6_001","BC454/945-MTG","BC454s945_MTG_P3WF6_001","P3"
"BC454s945_SSC_P3WF7_001","BC454/945-SSC","BC454s945_SSC_P3WF7_001","P3"
"A282s14_MTG_P3WD4_001","A282/14-MTG","A282s14_MTG_P3WD4_001","P3"
"A282s14_SSC_P3WD5_001","A282/14-SSC","A282s14_SSC_P3WD5_001","P3"
"A402s14_MTG_P3WF1_001","A402/14-MTG","A402s14_MTG_P3WF1_001","P3"
"A402s14_SSC_P3WF2_001","A402/14-SSC","A402s14_SSC_P3WF2_001","P3"
"19920001_MTG_P1WA10_001","19920001-MTG","19920001_MTG_P1WA10_001","P1"
"19920001_SSC_P1WB1_001","19920001-SSC","19920001_SSC_P1WB1_001","P1"
"20050033_MTG_P1WF1_001","20050033-MTG","20050033_MTG_P1WF1_001","P1"
"20050033_SSC_P1WF2_001","20050033-SSC","20050033_SSC_P1WF2_001","P1"
"A248s10_MTG_P3WC2_001","A248/10-MTG","A248s10_MTG_P3WC2_001","P3"
"A248s10_SSC_P3WC3_001","A248/10-SSC","A248s10_SSC_P3WC3_001","P3"
"A153s12_MTG_P2WH8_001","A153/12-MTG","A153s12_MTG_P2WH8_001","P2"
"A153s12_SSC_P2WH9_001","A153/12-SSC","A153s12_SSC_P2WH9_001","P2"
"20050102_MTG_P1WF4_001","20050102-MTG","20050102_MTG_P1WF4_001","P1"
"20050102_SSC_P1WF5_001","20050102-SSC","20050102_SSC_P1WF5_001","P1"
"20030099_MTG_P1WE8_001","20030099-MTG","20030099_MTG_P1WE8_001","P1"
"20030099_SSC_P1WE9_001","20030099-SSC","20030099_SSC_P1WE9_001","P1"
"20060093_MTG_P1WF7_001","20060093-MTG","20060093_MTG_P1WF7_001","P1"
"20060093_SSC_P1WF8_001","20060093-SSC","20060093_SSC_P1WF8_001","P1"
"20060099_MTG_P1WF10_001","20060099-MTG","20060099_MTG_P1WF10_001","P1"
"20060099_SSC_P1WG1_001","20060099-SSC","20060099_SSC_P1WG1_001","P1"
"20110272_MTG_P1WG7_001","20110272-MTG","20110272_MTG_P1WG7_001","P1"
"20110272_SSC_P1WG8_001","20110272-SSC","20110272_SSC_P1WG8_001","P1"
"20110476_MTG_P1WG10_001","20110476-MTG","20110476_MTG_P1WG10_001","P1"
"20110476_SSC_P1WH1_001","20110476-SSC","20110476_SSC_P1WH1_001","P1"
"A187s96a_MTG_P3WB4_001","A187/96-MTG","A187s96a_MTG_P3WB4_001","P3"
"A187s96a_SSC_P3WB5_001","A187/96-SSC","A187s96a_SSC_P3WB5_001","P3"
"A013s03_MTG_P2WD7_001","A013/03-MTG","A013s03_MTG_P2WD7_001","P2"
"A013s03_SSC_P2WD8_001","A013/03-SSC","A013s03_SSC_P2WD8_001","P2"
"A029s04_MTG_P2WE6_001","A029/04-MTG","A029s04_MTG_P2WE6_001","P2"
"A029s04_SSC_P2WE7_001","A029/04-SSC","A029s04_SSC_P2WE7_001","P2"
"A166s04_MTG_P3WA7_001","A166/04-MTG","A166s04_MTG_P3WA7_001","P3"
"A166s04_SSC_P3WA8_001","A166/04-SSC","A166s04_SSC_P3WA8_001","P3"
"A074s05a_MTG_P2WG4_001","A074/05-MTG","A074s05a_MTG_P2WG4_001","P2"
"A074s05a_SSC_P2WG5_001","A074/05-SSC","A074s05a_SSC_P2WG5_001","P2"
"A210s05a_MTG_P3WB7_001","A210/05-MTG","A210s05a_MTG_P3WB7_001","P3"
"A210s05a_SSC_P3WB8_001","A210/05-SSC","A210s05a_SSC_P3WB8_001","P3"
"A329s10_MTG_P3WE5_001","A329/10-MTG","A329s10_MTG_P3WE5_001","P3"
"A329s10_SSC_P3WE6_001","A329/10-SSC","A329s10_SSC_P3WE6_001","P3"
"A253s12_MTG_P3WC4_001","A253/12-MTG","A253s12_MTG_P3WC4_001","P3"
"A253s12_SSC_P3WC6_001","A253/12-SSC","A253s12_SSC_P3WC6_001","P3"
"A277s12_MTG_P3WD1_001","A277/12-MTG","A277s12_MTG_P3WD1_001","P3"
"A277s12_SSC_P3WD2_001","A277/12-SSC","A277s12_SSC_P3WD2_001","P3"
"A272s15_MTG_P3WC8_001","A272/15-MTG","A272s15_MTG_P3WC8_001","P3"
"A272s15_SSC_P3WC9_001","A272/15-SSC","A272s15_SSC_P3WC9_001","P3"
"A354s16_MTG_P3WE8_001","A354/16-MTG","A354s16_MTG_P3WE8_001","P3"
"A354s16_SSC_P3WE9_001","A354/16-SSC","A354s16_SSC_P3WE9_001","P3"
"A115s17_MTG_P2WG10_001","A115/17-MTG","A115s17_MTG_P2WG10_001","P2"
"A115s17_SSC_P2WH1_001","A115/17-SSC","A115s17_SSC_P2WH1_001","P2"
"A163s17_MTG_P3WA4_001","A163/17-MTG","A163s17_MTG_P3WA4_001","P3"
"A163s17_SSC_P3WA5_001","A163/17-SSC","A163s17_SSC_P3WA5_001","P3"
"19950136_MTG_P1WD4_001","19950136-MTG","19950136_MTG_P1WD4_001","P1"
"19950136_SSC_P1WD5_001","19950136-SSC","19950136_SSC_P1WD5_001","P1"
"19960052_MTG_P1WD7_001","19960052-MTG","19960052_MTG_P1WD7_001","P1"
"19960052_SSC_P1WD8_001","19960052-SSC","19960052_SSC_P1WD8_001","P1"
"20150975_MTG_P2WB2_001","20150975-MTG","20150975_MTG_P2WB2_001","P2"
"20150975_SSC_P2WB3_001","20150975-SSC","20150975_SSC_P2WB3_001","P2"
"20152915_MTG_P2WB5_001","20152915-MTG","20152915_MTG_P2WB5_001","P2"
"20152915_SSC_P2WB6_001","20152915-SSC","20152915_SSC_P2WB6_001","P2"
"20174902_MTG_P2WB8_001","20174902-MTG","20174902_MTG_P2WB8_001","P2"
"20174902_SSC_P2WB9_001","20174902-SSC","20174902_SSC_P2WB9_001","P2"
"19891053_MTG_P1WA2_001","19891053-MTG","19891053_MTG_P1WA2_001","P1"
"19891053_SSC_P1WA3_001","19891053-SSC","19891053_SSC_P1WA3_001","P1"
"19920194_MTG_P1WB8_001","19920194-MTG","19920194_MTG_P1WB8_001","P1"
"19920194_SSC_P1WB9_001","19920194-SSC","19920194_SSC_P1WB9_001","P1"
"19920200_MTG_P1WC1_001","19920200-MTG","19920200_MTG_P1WC1_001","P1"
"19920200_SSC_P1WC2_001","19920200-SSC","19920200_SSC_P1WC2_001","P1"
"19950030_MTG_P1WD1_001","19950030-MTG","19950030_MTG_P1WD1_001","P1"
"19950030_SSC_P1WD2_001","19950030-SSC","19950030_SSC_P1WD2_001","P1"
"19980098_MTG_P1WE3_001","19980098-MTG","19980098_MTG_P1WE3_001","P1"
"19980098_SSC_P1WE4_001","19980098-SSC","19980098_SSC_P1WE4_001","P1"
"20185945_MTG_P2WC6_001","20185945-MTG","20185945_MTG_P2WC6_001","P2"
"20185945_SSC_P2WC7_001","20185945-SSC","20185945_SSC_P2WC7_001","P2"
"DPM16s44_MTG_P3WG5_001","DPM16/44-MTG","DPM16s44_MTG_P3WG5_001","P3"
"DPM16s44_SSC_P3WG6_001","DPM16/44-SSC","DPM16s44_SSC_P3WG6_001","P3"
"20196919_MTG_P2WD1_001","20196919-MTG","20196919_MTG_P2WD1_001","P2"
"20196919_SSC_P2WD2_001","20196919-SSC","20196919_SSC_P2WD2_001","P2"
"20196928_MTG_P2WD4_001","20196928-MTG","20196928_MTG_P2WD4_001","P2"
"20196928_SSC_P2WD5_001","20196928-SSC","20196928_SSC_P2WD5_001","P2"
